from	from_type	type	to	to_type
BeckersEtAl2024		relation	Japanese tits have core-Merge	
AoyagiIshii1994		relation	long-distance NPI licensing	
KubotaLevine2016a		relation	movement + deletion analysis (of ellipsis)	
Hoji1998		relation	OtaniWhitman1991	
Shoji1986		relation	c-command NPI licensing of sika	
Chomsky1994		relation	X-bar theory	
NishiyamaNishikawa2018		relation	Nishigauchi2016	
KubotaLevine2016a		relation	low VP coordination	
CoppockBrochhagen2013		relation	GeurtsNouwen2007	
Johnson2001		relation	Hardt1999	
Miller2014		relation	Jayaseelan1990	
ParkEA2019		relation	KubotaLevine2016a	
Johnson2001		relation	remnant extraction (VP ellipsis)	
Sugisaki2022		relation	Adjunct ellipsis is possible	
ParkEA2019		relation	PotterEA2017	
NaritaFukui2022		relation	Weakness of T	
HofmeisterSag2010		relation	Phillips2006	
KubotaLevine2017		relation	Lasnik1999	
Kertz2013		relation	Sag1976	
IharaMizutani2021		relation	GeurtsNouwen2007	
Cipollone2001		relation	adjunct as argument	
KubotaLevine2015		relation	Linear Categorial Grammar	
EpsteinKitaharaSeely2016		relation	Antilocality	
Oku1998		relation	null adjunct	
Takita2010		relation	Hoshi1994	
Shimoyama2011		relation	c-command NPI licensing of indeterminate pronoun + mo	
TanabeKobayashi2024		relation	verb-stranding VP-ellipsis	
KampPartee1995		relation	fuzzy set theory	
Sakamoto2016a		relation	abe2011LR	
KubotaLevine2023		relation	successive cyclicity	
KennedyStanley2008		relation	Chomsky2000c	
Sakamoto2022		relation	syntactic approach to neg raising	
Johnson2000		relation	non-coordinate Gapping	
Elbourne2008		relation	Hardt1999	
Gunji2000		relation	lexical integrity	
Kubota2015		relation	across-the-board movement (ATB movement)	
Morrill1994		relation	Pollard1988	
CitkoGračanin-Yuksek2021		relation	Chomsky2007	
Takita2011b		relation	verb-stranding VP-ellipsis	
LevineHukari2006		relation	adjunct as argument	
KanazawaKaufmannPeters2005		relation	Kratzer1989	
IdoKubota2021		relation	Yoshimura2007	
AkuzawaKubota2024		relation	Hornstein1999	
Johnson2009		relation	movement + deletion analysis (of ellipsis)	
Ido2023		relation	Numata1986	
Stainton2006		relation	syntactic identity condition (ellipsis)	
AmaralRobertsSmith2007		relation	speaker-orientedness (of CI)	
CohenKrifka2011		relation	GeurtsNouwen2007	
KubotaLevine2015		relation	Optional Quantifier Merger	
Kubota2014		relation	verb raising	
IdoKubota2023		relation	Hara2007	
Futagi2004		relation	HaradaNoguchi1992	
FukuiTakano1998		relation	head parameter	
KubotaLevine2020		relation	Abstract Categorial Grammar	
Takahashi2004		relation	Lasnik1999	
KubotaLevine2020		relation	Linear Categorial Grammar	
Lee2021		relation	DaehoChung2010	
KubotaLevine2020		relation	Hendriks1995b	
AkuzawaKubota2021		relation	finite raising	
Chomsky2020		relation	multiple dominance	
KubotaLevine2020		relation	Lambda Grammar	
Chomsky1957		relation	context-freeness of natural language	
McNulty1988		relation	PRO analysis of small clause subjects	
Oshima2004		relation	subject-orientation of zibun	
Kubota2007		relation	adjunct as argument	
Bayer1996		relation	SagEA1985	
Lin2005		relation	Nissenbaum2000a	
KimuraNarita2021		relation	FAME	
FujiiEA2023		relation	AkuzawaKubota2020	
ParkEA2019		relation	Johnson2000	
Hirose2018		relation	subject-orientation of zibun	
YatabeTam2019		relation	direct coordination analysis (of NCC)	
KubotaLevine2016a		relation	Chaves2005	
DaviesDubinsky2003		relation	definiteness island	
NaritaFukui2022		relation	Weakness of Root	
Saab2010		relation	Eguren2010	
CarrierRandall1992		relation	Hybrid Small Clause Analysis (resultative)	
Sugisaki2022		relation	null adjunct	
Tanaka1997		relation	clausemate condition (of NPI)	
KimRunner2022		relation	Miller1990	
Deane1991		relation	autonomy of syntax	
Warner1993		relation	Kroch1989a	
Kobayashi2016		relation		
Deane1991		relation	Mainstream Generative Grammar	
Nykiel2013		relation	syntactic identity condition (ellipsis)	
Jacobson2007		relation	Logical Form (LF)	
Kurafuji2019		relation	Argument Ellipsis Possible in Japanese	
KubotaLevine2020		relation	higher-order unification	
Kubota2012		relation	comparison of deviation	
Jacobson1999		relation	Logical Form (LF)	
Nykiel2013		relation	P-stranding generalization	
Kertz2013		relation	Merchant2008a	
PotterEA2017		relation	Johnson2000	
Nissenbaum2000a		relation	S-structure Effect	
Nishigauchi2016		relation	Nishiyama2003	
KubotaLevine2016a		relation	Steedman1990	
NaritaFukui2022		relation	Universal/Unique Labeling Condition (UULC)	
AkuzawaKubota2024		relation	defective tense	
Hoji1998		relation	verb-stranding VP-ellipsis analysis of Argument Ellipsis	
Kratzer2005		relation	KanazawaKaufmannPeters2005	
KubotaLevine2023		relation	Chomsky1973	
NaritaFukui2022		relation	Merge Condition	
KubotaLevine2020		relation	syntactic deletion	
Hayashishita2017		relation	Kubota2012	
KubotaLevine2020		relation	KennedyMerchant2000a	
Miller2014		relation	movement + deletion analysis (of ellipsis)	
CohenKrifka2011		relation	CumminsKatsos2010	
Takahashi1990		relation	clausemate condition (of NPI)	
Ihara2024		relation	Oshima2021	
AkuzawaKubota2020		relation	Tense Alternation Generalization	
KubotaLevine2023		relation	vanUrkRichards2015	
KubotaLevine2020		relation	movement + deletion analysis (of ellipsis)	
FujiiEA2023		relation	AkuzawaKubota2021	
Merchant2001		relation	anaphoric analysis (ellipsis)	
KishimotoMoriyama2022		relation	PF-deletion	
Levine2011		relation	BeaversSag2004	
Funakoshi2016		relation	Takita2011b	
YatabeTam2019		relation	Optional Quantifier Merger	
KubotaLevine2017		relation	Jayaseelan1990	
CarrierRandall1992		relation	Binary Small Clause Analysis (resultative)	
Hudson1997		relation	V-to-I raising	
Jacobson2008		relation	Logical Form (LF)	
NaritaFukui2022		relation	Wurmbrand2014	
KubotaLevine2015		relation	Abstract Categorial Grammar	
NaritaFukui2022		relation	Wh-Criterion	
Oshima2007		relation	SzabolcsiZwarts1993	
KubotaLevine2016b		relation	multi-dominance	
TanabeKobayashi2024		relation	head movement	
KubotaLevine2016a		relation	Conjunct Revealing Rule (CCG)	
KubotaLevine2015		relation	BeaversSag2004	
Salzmann2012		relation	Citko2005	
SagNykiel2011		relation	Merchant2001	
Sato2019		relation	PF-deletion	
Saab2010		relation	Kornfeld2004	
Funakoshi2016		relation	Argument Ellipsis Possible in Japanese	
AkuzawaKubota2021		relation	Tense Alternation Generalization	
Büring2008b		relation	Krifka1999	
KubotaLevine2015		relation	Conjunction Reduction	
KubotaLevine2017		relation	Takahashi2004	
AkuzawaKubota2020		relation	Fujii2006	
Kobayashi2024		relation	head movement	
KubotaLevine2016a		relation	AbeilleEA2014	
YatabeTam2019		relation	KubotaLevine2015	
NaritaFukui2022		relation	proExpl	
KubotaLevine2015		relation	Lambda Grammar	
Takita2010		relation	SaitoHoshi2000	
AkuzawaKubota2024		relation	Wurmbrand2014	
KubotaLevine2015		relation	Linearization-Based Ellipsis (LBE)	
Takita2010		relation	Hasegawa1991	
Sakamoto2019		relation	PF-deletion	
SagEA2019		relation	GazdarEA1982	
Kanazawa2015		relation	KLM overgeneration (coordination)	
KubotaLevine2017		relation	movement + deletion analysis (of ellipsis)	
KennedyMerchant2000a		relation	anaphoric analysis (ellipsis)	
IharaMizutani2021		relation	Büring2008b	
KubotaLevine2023		relation	Chomsky1977	
Kennedy2003		relation	Kehler2002	
OshersonSmith1982		relation	prototype	
KubotaLevine2022		relation	movement + deletion analysis (of ellipsis)	
IdoEA2021		relation	Matsui2013	
Jacobson2016		relation	syntactic identity condition (ellipsis)	
Chomsky2015a		relation	IM as a phase-level operation	
Yamaguchi2024		relation	Experiencer PPs as subjects	
AkuzawaKubota2025		relation	Fujii2006	
Takita2010		relation	Kuroda1965	
NaritaFukui2022		relation	RR	
Salzmann2012		relation	Nunes2001	
AkuzawaKubota2024		relation	Krapova2001	
BonamiGodardMarandin1999		relation	KaynePollock1978	
Amazaki2006		relation	SubjFQ1	
Needle2022		relation	KLM overgeneration (coordination)	
Hoeksema2007		relation	pseudogapping as VP ellipsis	
Takita2024KLS		relation	Extraction out of null adjuncts possible	
KimSag2002		relation	Pollock1989	
Johnson2001		relation	pseudogapping as VP ellipsis	
Saito2017b		relation	pro analysis of Argument Ellipsis	
Poole2022		relation	Semantic Reconstruction	
Kataoka2006		relation	c-command NPI licensing of indeterminate pronoun + mo	
Kataoka2006		relation	c-command NPI licensing of sika	
CoppockBrochhagen2013		relation	CohenKrifka2011	
CohenKrifka2011		relation	Büring2008b	
Ihara2024		relation	Sawada2022b	
Hayashishita2009		relation	BeckOdaSugisaki2004	
KubotaLevine2016a		relation	Johnson2009	
NaritaFukui2022		relation	Focus Criterion	
Abrusan2016		relation	Abusch2010	
SchwarzSimonenko2018		relation	SzabolcsiZwarts1993	
CitkoGračanin-Yuksek2021		relation	Chomsky2019	
Tanaka1997		relation	Linear Crossing Constraint (LCC)	
Smirnova2010		relation	defective tense	
Miura2021		relation	Experiencer PPs as arguments	
Ross1967a		relation	Chomsky1964a	
Miller2014		relation	Gengel2013	
Culicover1993		relation	Empty Category Principle (ECP)	
YatabeTam2019		relation	KubotaLevine2020	
Kobayashi2016		relation	head movement	
Tanaka2011		relation	Merchant2008a	
Büring2008b		relation	GeurtsNouwen2007	
MorrillValentin2017		relation	KubotaLevine2016a	
Kubota2014		relation	argument raising	
Besten2010		relation	Plessis1977	
KubotaLevine2021		relation	Kroch1989a	
ParkEA2019		relation	low VP coordination	
KubotaLevine2017		relation	Merchant2008a	
CoppockBrochhagen2013		relation	Nouwen2010	
Abbott1976		relation	Conjunction Reduction	
Funakoshi2016		relation	adjuncts not elidable	
KubotaLevine2023		relation	Morrill2017	
Levine2011		relation	Linearization-Based Ellipsis (LBE)	
Langendoen1977		relation	context-freeness of natural language	
Oshima2004		relation	c-commanding requirement of zibun binding	
WangReeseMcCready2005		relation	speaker-orientedness (of CI)	
Nouwen2010		relation	GeurtsNouwen2007	
AkuzawaKubota2024		relation	PRO Theorem	
KubotaLevine2023		relation	KubotaLevine2020	
Kertz2013		relation	syntactic identity condition (ellipsis)	
HaleReiss2000		relation	BeckmanJ1997	
Jacobson2016		relation	Merchant2001	
Nakamura2013a		relation	Merchant2008a	
OshersonSmith1981		relation	prototype	
KubotaLevine2016b		relation	Barker2012	
CitkoGračanin-Yuksek2021		relation	Chomsky2008	
Miura2022		relation	Experiencer PPs as arguments	
KubotaLevine2021a		relation	GazdarEA1982	
Saab2016		relation	Giannakidou1999b	
KubotaLevine2017		relation	Gengel2013	
KubotaLevine2016a		relation	underspecification semantics	
ParkEA2019		relation	movement + deletion analysis (of ellipsis)	
AkuzawaKubota2024		relation	Spyropoulos2008	
Sato2022		relation	syntactic approach to neg raising	
Pearson2013		relation	relativism	
KubotaLevine2016b		relation	Linearization-Based Ellipsis (LBE)	
IdoKubota2021		relation	projective meaning	
KubotaLevine2020		relation	ParkEA2019	
KubotaLevine2021a		relation	SagEA2019	
KimSag2002		relation	verb movement/raising	
Eguren2010		relation	Licensing and Identification of pro	
YatabeTam2019		relation	BeaversSag2004	
KubotaLevine2020		relation	underspecification semantics	
DaviesDubinsky2003		relation	Chomsky1973	
Merchant2008a		relation	voice mismatch	
KubotaIdo2024		relation	speaker-orientedness (of CI)	
Kishimoto2007		relation	NPI movement	
Funakoshi2016		relation	Hoji1998	
KubotaLevine2017		relation	Miller2014	
TanakaH2023		relation	verb-stranding VP-ellipsis	
Takano2008MS		relation	subject-orientation of zibun	
Oku2016		relation	adjuncts not elidable	
Rooth1985		relation	scope theory (for focus particle)	
Kubota2015		relation	PF-deletion	
AkuzawaKubota2024		relation	WurmbrandLohninger2019	
Nishigauchi2020		relation	Nishiyama2003	
YagiEA2022		relation	syntactic approach to neg raising	
KubotaLevine2020		relation	Kennedy2003	
Chomsky2004GER		relation	Faithfulness Constraints	
Yamaguchi2024		relation	Adjunct ellipsis is possible	
TanakaH2023		relation	verb-stranding VP-ellipsis analysis of Argument Ellipsis	
AkuzawaKubota2020		relation	Uchibori2000	
Salzmann2012		relation	Chomsky1986a	
DediuLevinson2018		relation	Language appeared among Homo sapiens	
Kertz2013		relation	HankamerSag1976	
Fox1999		relation	Semantic Reconstruction	
FukuiSakai2003		relation	Koizumi2000	
Elbourne2008		relation	anaphoric analysis (ellipsis)	
Kubota2014		relation	lexical integrity	
Chomsky2019		relation	multiple dominance	
KubotaLevine2016a		relation	non-coordinate Gapping	
Nykiel2013		relation	Merchant2001	
Kuno1976a		relation	Langendoen's Nonleft-Peripheral NP Constraint(NLPNPC)	
Futagi2004		relation	Shoji1986	
Pollard1988		relation	Categorial Grammar (CG)	
BarrosFrank2023		relation	GranoLasnik2018	
KubotaLevine2023		relation	vanUrk2020	
Kennedy2003		relation	anaphoric analysis (ellipsis)	
KubotaLevine2016b		relation	Barker2007	
BeaversSag2004		relation	direct coordination analysis (of NCC)	
CoppockBrochhagen2013		relation	Büring2008b	
Miller2014		relation	Lasnik1999	
AkuzawaKubota2021		relation	defective tense	
Takita2010		relation	Saito2006	
Nouwen2010		relation	Krifka2007b	
Yamaguchi2024		relation	Experiencer PPs as adjuncts	
HofmeisterSag2010		relation	syntactic account of islands	
